URL,Informative_Text
https://mollanbros.co.uk/register?returnUrl=%2F,
https://mollanbros.co.uk/3-seater-sofa,
https://mollanbros.co.uk/leather7,"Nerano (Fixed or Electric Options), Russo Suite, Positano suite"
https://mollanbros.co.uk/fabric10,"Lawton by Lazboy, Tamla by Lazboy, Baxter by Lazboy, Herbert Electric Reclining Suite, Casey Suite, Leroy Suite, Phoenix Electric Reclining Suite, Reese Suite, Marseille 3 Seater, marseille 2 Seater"
https://mollanbros.co.uk/wooden-headboards,Troscan Slatted Headboard
https://mollanbros.co.uk/compareproducts,
https://mollanbros.co.uk/wardrobes,
https://mollanbros.co.uk/display-units,"Salisbury Corner Display Cabinet, Salisbury Display Cabinet, Stow Natural Oak Display Cabinet, Stow Natural Oak Low Display Unit, Stow Painted Glass Display Unit (Grey), Stow Painted Glass Display Unit (White), Stow Painted Low Display Unit (Grey), Stow Painted Low Display Unit (White)"
https://mollanbros.co.uk/gloss-chest-of-drawers,"Miami 3+3 Dual Chest, Miami 3 Drawer Midi Chest, Miami 3 Drawer Wide Chest, Miami 4+4 Dual Chest, Miami 4 Drawer Midi Chest, Miami 4 Drawer Wide Chest, Miami 5 Drawer Midi Chest, Miami 5 Drawer Wide Chest, Miami 6 Drawer Wide Chest, Miami 8 Drawer Wide Chest"
https://www.facebook.com/people/Mollan-Bros-Furniture/61566546579159/,
https://mollanbros.co.uk/wooden-bedframes,"Salisbury 3ft Low End Bed, Salisbury Panelled Bed, Salisbury Slatted Bed, Stow Painted 4ft6 Slatted Bedframe (White), Stow Painted 5ft Slatted Bedframe (White), Troscan Deluxe Slatted Bedframe, Troscan Havana Panel-Style Headboard, Amelia 4ft6 Panelled Bedframe (Cream), Amelia 4ft6 Panelled Bedframe (Grey), Amelia 5ft Panelled Bedframe (Cream)"
https://mollanbros.co.uk/kids-beds-bunks-2,"Space Bunk Bed, BEL30 Bunk Bed, Bronson Triple Sleeper, Roxy Bunks, Jupiter Bunk Bed, Deauville Bunk Bed"
https://mollanbros.co.uk/special-offers,"Stow Painted 3 Door 3 Drawer Sideboard (Blue), Stow Painted Standard Coffee Table (Blue), Stow Painted Corner TV Unit (Blue), Stow Painted Extra Large TV Unit (Blue), Stow Painted Lamp Table With Shelf (Blue), Stow Painted Lamp Table with Drawer (Blue)"
https://mollanbros.co.uk/dressers,
https://mollanbros.co.uk/mirrorsl,
https://mollanbros.co.uk/respa,"Respa Fantasia Mattress, Respa Pocket 1600 Mattress, Respa Pocket 1200 Mattress, Respa Pocket 1400 Pillowtop Mattress, Respa Gel Pocket Elite Mattress, Gel Horizon Mattress, Pocket Pillowtop 2000 Mattress, Diamond 3000 Mattress, Respa Rhapsody 2000 Mattress, Respa Hibernate 3000 Mattress"
https://mollanbros.co.uk/reclining-suites,
https://mollanbros.co.uk/lazboyr,"Augustine Recliner Chair, Augustine Rocker Recliner Chair, Winchester Power Rocker Recliner Chair, Winchester Recliner Chair, Jefferson by Lazboy Chair (Power Reclining), Harvey Rocker Recliner Chair by Lazboy, Claudia Chair, Egan Chair"
https://mollanbros.co.uk/leather5,"Nerano Chair (Electric Reclining), Sophia Armchair, Winchester Power Rocker Recliner Chair, Augustine Recliner Chair, Sloane Armchair (Power Reclining with Sensor), Jefferson by Lazboy Chair (Power Reclining), Russo Chair, Nero Swivel Chair (Electric), Positano Chair Electric, Lugo Chair (Reclining)"
https://mollanbros.co.uk/kitchen-islands,Salisbury Kitchen Island
https://mollanbros.co.uk/snuggler-chairs,"Paris Love Chair by Lebus, Artemis Snuggler, Memphis Snuggler, Savannah Snuggler, Lowry Snuggler, Chicago Love Chair, Vesper Love Chair, Luman Swivel Chair, Cleveland Snuggler, Fleming Snuggler"
https://mollanbros.co.uk/lazboy,"Baxter by Lazboy, Jefferson by Lazboy, Trent by Lazboy, Winchester by Lazboy, Sloane By Lazboy, Tamla by Lazboy, Lawton by Lazboy, Augustine by Lazboy"
